epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15049,1.05724,2.62948,1.23292,0.00595,0.78125,0.03827,0.01851,1.4552,2.87291,1.57169,4e-05,4e-05,4e-05
2,12.1564,1.23522,2.70108,1.34009,0.00619,0.8125,0.16483,0.07906,1.35341,2.85848,1.50934,9.604e-05,9.604e-05,9.604e-05
3,13.7127,1.01034,2.62104,1.24672,0.00548,0.71875,0.39936,0.28115,1.15781,2.86577,1.41119,0.000147328,0.000147328,0.000147328
4,15.3725,0.90354,2.36172,1.19454,0.00595,0.78125,0.37183,0.26599,1.13485,2.87161,1.42561,0.000193864,0.000193864,0.000193864
5,16.961,0.93086,2.16734,1.13443,0.00643,0.84375,0.44549,0.27801,1.31188,2.87206,1.50888,0.000235648,0.000235648,0.000235648
6,18.4461,0.95979,2.2241,1.30185,0.00714,0.9375,0.51189,0.30137,1.30095,2.82747,1.45897,0.00027268,0.00027268,0.00027268
7,20.0285,1.05197,1.90684,1.18069,0.00738,0.96875,0.57394,0.41323,1.15567,2.75721,1.3718,0.00030496,0.00030496,0.00030496
8,21.8811,0.82794,1.76073,1.07973,0.00738,0.96875,0.61409,0.44709,1.11414,2.75079,1.35517,0.000332488,0.000332488,0.000332488
9,24.2571,0.86435,1.73651,1.08212,0.00738,0.96875,0.58179,0.42917,1.08019,2.69889,1.33856,0.000355264,0.000355264,0.000355264
10,26.7433,0.94193,1.62743,1.25289,0.00738,0.96875,0.58252,0.43597,1.12404,2.65749,1.3716,0.000373288,0.000373288,0.000373288
11,29.0357,0.88282,1.51193,1.16677,1,0.39434,0.58585,0.433,1.16183,2.56029,1.39784,0.00038656,0.00038656,0.00038656
12,30.6807,0.78826,1.40815,1.11638,1,0.21756,0.59114,0.41759,1.17216,2.50519,1.38142,0.00039508,0.00039508,0.00039508
13,32.2313,0.79833,1.27158,1.13753,1,0.284,0.58789,0.41788,1.19405,2.4596,1.36886,0.000398848,0.000398848,0.000398848
14,33.7622,0.77919,1.21744,1.08552,1,0.27758,0.57434,0.41281,1.19603,2.46084,1.35416,0.000397864,0.000397864,0.000397864
15,35.2542,0.818,1.14915,1.09131,1,0.33454,0.50088,0.36667,1.16471,2.40818,1.364,0.000392128,0.000392128,0.000392128
16,38.5822,0.76325,1.71836,1.12034,1,0.37247,0.47921,0.34997,1.20774,2.35669,1.39655,0.00038164,0.00038164,0.00038164
17,41.1512,0.78582,1.52251,1.06503,0.97429,0.4375,0.49412,0.37282,1.2192,2.23178,1.46031,0.0003664,0.0003664,0.0003664
18,43.8594,0.72027,1.32035,1.03906,0.96904,0.4375,0.50985,0.3783,1.24234,2.17579,1.46668,0.000346408,0.000346408,0.000346408
19,46.2323,0.66743,1.2953,1.06238,0.97332,0.4375,0.52046,0.40209,1.22692,2.17982,1.42364,0.000321664,0.000321664,0.000321664
20,48.6347,0.68941,1.26319,1.03665,0.97127,0.4375,0.54118,0.4311,1.17313,2.1876,1.37717,0.000292168,0.000292168,0.000292168
21,50.4334,0.59228,1.25364,0.94922,1,0.46604,0.57582,0.43939,1.19113,2.20165,1.38007,0.00025792,0.00025792,0.00025792
22,51.9095,0.69149,1.23547,1.00508,0.9163,0.46875,0.59994,0.45436,1.19373,2.18364,1.36947,0.00021892,0.00021892,0.00021892
23,53.5527,0.68879,1.14895,0.94287,0.89503,0.5,0.62977,0.47299,1.21339,2.15047,1.35747,0.000175168,0.000175168,0.000175168
24,55.0902,0.68335,1.16909,0.99906,0.85689,0.56139,0.65153,0.48695,1.24109,2.11101,1.35246,0.000126664,0.000126664,0.000126664
25,56.6843,0.70562,1.13367,0.99244,0.84338,0.59375,0.65827,0.4964,1.29431,2.05743,1.37282,7.3408e-05,7.3408e-05,7.3408e-05
