epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21102,1.03275,2.61001,1.21585,0.00595,0.78125,0.05058,0.02088,1.45337,2.8739,1.57321,4e-05,4e-05,4e-05
2,5.13396,1.2121,2.64602,1.34693,0.00619,0.8125,0.15383,0.09196,1.30964,2.85272,1.45452,9.901e-05,9.901e-05,9.901e-05
3,7.24999,0.9727,2.51058,1.19713,0.00643,0.84375,0.38759,0.23811,1.2141,2.88168,1.44378,0.000156832,0.000156832,0.000156832
4,9.39482,0.86698,2.40475,1.11058,0.00667,0.875,0.4058,0.25884,1.14006,2.8799,1.39907,0.000213466,0.000213466,0.000213466
5,11.8459,0.87001,2.22297,1.1176,0.0069,0.90625,0.45094,0.33237,1.04686,2.80824,1.31002,0.000268912,0.000268912,0.000268912
6,14.0361,0.84277,1.88668,1.03587,0.0069,0.90625,0.49802,0.36973,1.04327,2.77198,1.32342,0.00032317,0.00032317,0.00032317
7,16.3131,0.90334,1.87292,1.11746,0.0069,0.90625,0.53239,0.42062,1.00678,2.74442,1.29899,0.00037624,0.00037624,0.00037624
8,18.5542,0.88181,1.7245,1.14621,0.00714,0.9375,0.55012,0.44955,0.9884,2.69577,1.28741,0.000428122,0.000428122,0.000428122
9,20.8591,0.8687,1.50081,1.08988,0.00762,1,0.56372,0.4274,1.0345,2.60741,1.25217,0.000478816,0.000478816,0.000478816
10,23.393,0.89232,1.40262,1.15064,0.01096,0.6875,0.60236,0.44663,1.09376,2.56251,1.29745,0.000528322,0.000528322,0.000528322
11,25.7483,0.90193,1.28922,1.15044,1,0.22914,0.60391,0.42397,1.13928,2.5143,1.32614,0.00057664,0.00057664,0.00057664
12,28.4955,0.95594,1.21041,1.18088,1,0.28903,0.59917,0.44021,1.11335,2.47849,1.34069,0.00062377,0.00062377,0.00062377
